FID_1,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,geometry,geometry2,Abelmoschus.esculentus,Actinidia.deliciosa,Anacardium.occidentale,Bertholletia.excelsa.Bonpl,Brassica.napus,Brassica.nigra,Castanea_sativa_Mill,Citrullus.lanatus,Cocos.nucifera,Coffea.arabica,Coffea.canephora,Coffea.liberica,Cola.acuminata,Cola.nitida,Cucumis.melo,Cucumis.sativus,Cucurbita.maxima,Cucurbita.moschata,Cucurbita.pepo,Elettaria.cardamomum,Fagopyrum.esculentum,Fragaria.ananassa,Fragaria.chiloensis,Fragaria.moschata,Fragaria.virginiana,Fragaria.viridis,Fragaria_vesca,Glycine.max,Glycine.soja,Gossypium.arboreum,Gossypium.barbadense,Gossypium.herbaceum,Gossypium.hirsutum,Helianthus.annuus,Malus.domestica,Mangifera.indica,Myristica.fragrans,Persea.americana,Prunus.armeniaca,Prunus.cerasus,Prunus.domestica,Prunus.persica,Prunus_avium,Prunus_spinosa,Pyrus.communis,Ribes.nigrum,Ribes.rubrum,Rubus.chamaemorus,Rubus.flagellaris,Rubus_idaeus,Sesamum.indicum,Sinapis.alba,Solanum.melongena,Theobroma.cacao,Vaccinium.angustifolium,Vaccinium.corymbosum,Vaccinium.oxycoccus,Vaccinium_myrtillus,Vanilla.planifolia,Vanilla.pompona,Vicia.faba,number of crops
2199,1699,Penza,RUS-PNZ,Penzenskaya oblast',RS,Russia,Provincial capital,519948,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,c(45.0029974343445, 53.197002006783),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
2282,1782,Samarkand,UZB-SMK,Samarkand,UZ,Uzbekistan,Provincial capital,538211,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,c(66.9480034033353, 39.6579959919605),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10
2392,1892,Masaka,UGA-STB,South Buganda,UG,Uganda,Provincial capital,103293,5,"100,000 to 249,999",0,0,UN_Data_2010_2020,c(31.7340003495608, -0.33499806774819),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
2453,1953,Blantyre,MWI-STH,Southern,MI,Malawi,Provincial capital,800264,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,c(34.993998314878, -15.7930020725627),1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10
88,88,Manaus,BRA-AMZ,Amazonas,BR,Brazil,Provincial capital,1792881,2,"1,000,000 to 4,999,999",12560,0,UN_Data_2010_2020,c(-60.0149966783372, -3.12200104070791),0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,11
131,131,Formosa,ARG-FRM,Formosa,AR,Argentina,Provincial capital,252791,4,"250,000 to 499,999",13340,1,UN_Data_2010_2020,c(-58.1769986368764, -26.1829980263912),1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
145,145,Santos,BRA-SPA,Sao Paulo,BR,Brazil,Other,419086,4,"250,000 to 499,999",12970,0,UN_Data_2010_2020,c(-46.3094906038277, -23.9546970115182),1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11
146,146,Curitiba,BRA-PAN,Parana,BR,Brazil,Provincial capital,1751907,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,c(-49.2849986605532, -25.4300040209816),1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
174,174,Juneau,USA-ALK,Alaska,US,United States,Provincial capital,31974,7,"Less than 50,000",19580,0,US_Census_2019,c(-134.40401071286, 58.3029989829925),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11
263,263,Acapulco,MEX-GRR,Guerrero,MX,Mexico,Other,919726,3,"500,000 to 999,999",15760,0,UN_Data_2010_2020,c(-99.931499557289, 16.9743780368848),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11
293,293,Cartago,CRI-CRT,Cartago,CS,Costa Rica,Provincial capital,164121,5,"100,000 to 249,999",0,1,UN_Data_2010_2020,c(-83.9210036996608, 9.85699801189262),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11
421,421,Bani,DOM-PER,Peravia,DR,Dominican Republic,Provincial capital,92153,6,"50,000 to 99,999",0,0,UN_Data_2010_2020,c(-70.3310035643337, 18.2799989297735),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11
429,429,Santo Domingo,DOM-SDM,Santo Domingo,DR,Dominican Republic,National and provincial capital,965040,3,"500,000 to 999,999",11040,1,UN_Data_2010_2020,c(-69.8990036733499, 18.4889970134254),0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,11
434,434,San Pedro De Macoris,DOM-SPD,San Pedro de Macor¡s,DR,Dominican Republic,Provincial capital,195307,5,"100,000 to 249,999",11030,0,UN_Data_2010_2020,c(-69.3080006288853, 18.4560030469671),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11
462,462,Cucuta,COL-NDS,Norde de Santander,CO,Colombia,Provincial capital,629414,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,c(-72.5030005845343, 7.89100200079486),0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,11
478,478,Toronto,CAN-ONT,Ontario,CA,Canada,Provincial capital,2965713,2,"1,000,000 to 4,999,999",3000,0,UN_Data_2010_2020,c(-79.4126335823368, 43.7207669366832),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11
495,495,Lansing,USA-MCH,Michigan,US,United States,Provincial capital,118210,5,"100,000 to 249,999",0,0,US_Census_2019,c(-84.5579966387802, 42.7259970028221),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11
